,Name,Ordinal_type,Postcode,Latitude,Longitude
115,Catterick Garrison Superstore,2,DL9 3EN,54.374584, -1.723946
116,Glasgow Maryhill Extra,3,G20 9SH,55.88703683841159, -4.2862274404755
117,Chadwell Heath Express,1,RM6 6PR,51.57094830755412, 0.13232141733169556
118,Chard Superstore,2,TA20 2LW,50.874102900707726, -2.9541562313490854
119,Chatham Lords Wood Express,1,ME5 8TH,51.3350993969293, 0.5446279048919678
120,Cheddar Express,1,BS27 3AG,51.275524, -2.778246
121,Chellaston Derby Rd Express,1,DE73 5SA,52.869740186744906, -1.4394131770203922
122,Chertsey Express,1,KT16 8DX,51.38549686675416, -0.500791717076936
123,Flamstead End Rd Express,1,EN8 0HX,51.71286373809577, -0.05003987483406247
124,Chester-Le-Street Superstore,2,DH3 3TF,54.85878882701159, -1.5773570888145514
125,Chigwell Manford Way Express,1,IG7 4DN,51.60831713060473, 0.10625571012496948
126,Chobham Station Rd Express,1,GU24 8AQ,51.34596935845641, -0.6009051671966104
127,Chorlton-Cum-Hardy Express,1,M21 8AY,53.43607982459282, -2.273088199305322
128,Clapham High St Express,1,MK41 6AG,52.16021991628764, -0.49400586830494086
129,Cleckheaton Superstore,2,BD19 3HS,53.72484104955594, -1.7143599652288022
130,Clevedon Superstore,2,BS21 6LH,51.428367059054494, -2.854626020437081
131,Clitheroe Superstore,2,BB7 1LP,53.872850617987936, -2.3882871866226196
132,Rockbank Place Express,1,G81 5NZ,55.92415299665356, -4.401577413082123
133,Walsall Rd Express,1,B74 4QY,52.59019327989111, -1.8480007722973824
134,Coleford Gloucester Express,1,GL16 8HD,51.79240955419534, -2.6171158330271282
135,Coleraine Superstore,2,BT52 1HU,55.128317827945395, -6.671587228775024
136,Main St Express,1,LS22 5AS,53.90796009628959, -1.4121468365192413
137,Colne Market St Express,1,BB8 0HS,53.85718123676286, -2.165973971158759
138,Congresbury Express,1,BS49 5BG,51.37474473733066, -2.8055507298870452
139,Cookstown Broadfield Superstore,2,BT80 8BH,54.65025006070359, -6.751942882278399
140,Coulsdon Express,1,CR5 2RA,51.321136847303784, -0.1385159865822061
141,Countesthorpe Express,1,LE8 5RN,52.55413889244218, -1.136889177909893
142,Durham Claypath Express,1,DH1 1RH,54.7782922, -1.5733745
143,Cowbridge Express,1,CF71 7AG,51.4619285719996, -3.4488387312785562
144,Cradley Heath Extra,3,B64 5DF,52.47307528160063, -2.0812377333777476
145,Cramlington Express,1,NE23 1XZ,55.095631160300044, -1.5847071370692056
146,Crowborough Superstore,2,TN6 3DZ,51.04595233408679, 0.1925811084157658
147,Crowthorne Greenwood Express,1,RG45 6QX,51.37713984127444, -0.7996563613414764
148,Crumlin Superstore,2,BT29 4UP,54.61933278747474, -6.212392650992529
149,Cullompton Superstore,2,EX15 1BQ,50.8580854069708, -3.388819545507431
150,Maryport Express,1,CA15 7LF,54.712302, -3.4898885
151,Auchinleck Superstore,2,KA18 2AA,55.46672779401993, -4.289227724075317
152,Cupar Superstore,2,KY15 5JE,56.31571, -3.007172
153,Cwmbran Express,1,NP44 4LF,51.651956096686895, -3.045184314250946
154,Dalkeith Hardengreen Superstore,2,EH22 3PP,55.88304790224026, -3.08513130653715
155,Cornmill Shopping Centre Express,1,DL1 1NU,54.525060388199904, -1.5537554025650024
156,Datchet Express,1,SL3 9HW,51.481289353809565, -0.5692988634109497
157,Deal Mill Hill Express,1,CT14 9HZ,51.20999544839032, 1.3815602660179138
158,Connahs Quay Express,1,CH5 4DD,53.215296, -3.0479869
159,Denton Mancunian Rd Express,1,M34 7NP,53.443793999999976, -2.101854067459044
160,Dereham Extra,3,NR19 1WB,52.67253754492014, 0.9557677766282158
161,Devizes Express,1,SN10 3EQ,51.3482587, -1.9786584
162,Didsbury Wilmslow Rd Express,1,M20 6QZ,53.4184524529904, -2.2313618659973145
163,Dinas Powys Castle Dr Express,1,CF64 4NR,51.43414411313958, -3.2092063704635776
164,Dingwall Mart Rd Superstore,2,IV15 9PP,57.5976712144483, -4.431079356240191
165,Diss Superstore,2,IP22 4JN,52.37208621667028, 1.1108225251312032
